config,hidden_units,learning_rate,best_epoch,best_train_acc,best_val_acc,test_acc
hidden_128,128,0.1,10,0.8604444444444445,0.8563333333333333,0.8483
hidden_256,256,0.1,10,0.862,0.857,0.8509
